,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
29,노곡동,3.827763496143959,0.9974293059125964,0.05141388174807198,3.575835475578406,3.2982005141388173,5.0,1.8946015424164524,2.992287917737789
30,노변동,2.346801346801347,1.228956228956229,0.25925925925925924,3.5117845117845117,1.0505050505050506,4.835016835016835,1.101010101010101,3.898989898989899
31,노원동1가,3.712041884816754,1.0663176265270506,0.14485165794066318,4.722513089005235,2.18848167539267,4.973821989528796,1.4642233856893543,2.56020942408377
32,노원동2가,4.03674280039722,1.0377358490566038,0.1320754716981132,3.872889771598808,2.6434955312810327,4.999006951340616,1.0,2.6673286991062564
33,노원동3가,3.39557901682613,1.023424612339162,0.11316397228637413,6.947542065324975,1.8488947542065326,4.988782580006599,1.2441438469152095,2.86077202243484
34,논공읍,2.9370044052863435,1.0270925110132159,0.06035242290748899,4.936563876651983,1.9931718061674009,4.991189427312776,1.9755506607929516,3.545374449339207
35,능성동,3.0268456375838926,0.9798657718120806,0.18120805369127516,3.6912751677852347,2.5704697986577183,5.0,2.7651006711409396,4.704697986577181
36,다사읍,2.352201257861635,1.2005321722302855,0.16376390904692792,4.195936139332366,1.3514755684567006,4.844702467343977,1.8132559264634736,3.91799709724238
37,달성동,3.4768683274021353,1.1637010676156583,0.17793594306049823,3.622775800711744,2.409252669039146,4.854092526690391,1.0,2.419928825622776
38,대곡동,2.2114197530864197,1.3070987654320987,0.375,3.2685185185185186,0.779320987654321,4.79320987654321,1.8055555555555556,3.316358024691358
39,대림동,1.8148148148148149,1.2222222222222223,0.39814814814814814,4.462962962962963,1.1203703703703705,4.638888888888889,3.0,4.527777777777778
40,대명동,3.988446726572529,1.0397362586066052,0.21927879565876998,2.7562726105729958,2.5472050414284046,4.991714319057066,1.510211226514179,2.33358618275178
41,대봉동,3.722809667673716,1.1654078549848943,0.2590634441087613,3.4425981873111784,2.309667673716012,4.967522658610272,1.1208459214501512,2.2749244712990935
42,대신동,4.133113311331133,1.1353135313531353,0.24752475247524752,3.728272827282728,2.6545654565456545,4.9438943894389435,1.0,1.9845984598459847
43,대안동,4.484536082474227,1.0721649484536082,0.2268041237113402,4.597938144329897,2.4536082474226806,4.989690721649485,1.0,1.556701030927835
44,대천동,2.7769709543568464,1.1607883817427387,0.17116182572614108,6.4346473029045645,1.2904564315352698,4.928423236514523,1.4356846473029046,3.6960580912863072
45,대현동,3.945393914130888,1.0596081700708628,0.18757815756565235,2.6360983743226343,2.8303459774906212,4.971238015839933,1.0,2.756148395164652
46,대흥동,2.2612612612612613,1.3783783783783783,0.44594594594594594,4.382882882882883,1.6396396396396395,4.918918918918919,2.036036036036036,3.7612612612612613
47,덕곡동,2.8054298642533935,1.0,0.1583710407239819,3.6561085972850678,2.0452488687782804,5.0,4.542986425339366,5.0
48,덕산동,4.277777777777778,1.3611111111111112,1.0555555555555556,5.222222222222222,1.0555555555555556,4.888888888888889,1.0,1.6666666666666667
49,도남동,3.1526315789473682,0.9947368421052631,0.021052631578947368,3.3473684210526318,3.0631578947368423,5.0,2.7526315789473683,3.5473684210526315
50,도동,3.5602739726027397,1.0136986301369864,0.10684931506849316,3.147945205479452,2.9643835616438357,5.0,2.004109589041096,3.267123287671233
51,도원동,2.8857142857142857,1.8232142857142857,0.5232142857142857,3.289285714285714,1.0982142857142858,4.760714285714286,1.3910714285714285,3.544642857142857
52,도학동,3.220779220779221,0.987012987012987,0.12121212121212122,3.8354978354978355,3.116883116883117,5.0,1.9047619047619047,4.6103896103896105
53,동내동,1.7,1.125,0.2,6.05,1.35,4.875,2.15,4.55
54,동문동,4.24203821656051,1.10828025477707,0.3248407643312102,4.713375796178344,1.7070063694267517,4.993630573248407,1.0,1.5668789808917198
55,동변동,2.912739965095986,1.155322862129145,0.12216404886561955,3.06108202443281,0.9895287958115183,4.99825479930192,1.087260034904014,3.3420593368237346
56,동산동,3.860557768924303,1.1434262948207172,0.26294820717131473,3.9203187250996017,2.4661354581673307,4.940239043824701,1.0,2.195219123505976
57,동성로1가,4.444444444444445,1.0555555555555556,0.3055555555555556,5.0,2.138888888888889,5.0,1.0,1.8611111111111112
58,동성로2가,4.099378881987578,1.2111801242236024,0.453416149068323,4.906832298136646,1.4658385093167703,4.968944099378882,1.0,1.8881987577639752
59,동성로3가,4.013333333333334,1.2133333333333334,0.4666666666666667,4.906666666666666,1.8533333333333333,4.973333333333334,1.0,2.2133333333333334
60,동인동1가,3.4128440366972477,1.334862385321101,0.463302752293578,3.8073394495412844,1.5596330275229358,4.834862385321101,1.0,2.0137614678899083
61,동인동2가,3.7467532467532467,1.2272727272727273,0.4935064935064935,4.3311688311688314,1.4610389610389611,4.9480519480519485,1.0,2.2467532467532467
62,동인동3가,3.90795631825273,1.0904836193447738,0.2948517940717629,2.923556942277691,2.4102964118564745,4.9609984399375975,1.547581903276131,2.1918876755070205
