Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89379,대구광역시 달성군 논공읍 남리 635-3번지,1,0,4.6,철근콘크리트구조,철근콘크리트 조적조,공동주택,0,1997,35.7234524909408,128.450207011758
89380,대구광역시 달성군 논공읍 남리 636-3번지,3,0,12.0,철근콘크리트구조,"철근콘크리트조, 시멘트벽돌조",제1종근린생활시설,0,1997,35.723592299557,128.450533019448
89381,대구광역시 달성군 논공읍 남리 636-8번지,4,0,12.6,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7234435012803,128.450578947501
89382,대구광역시 달성군 논공읍 남리 636-9번지,1,0,0.0,일반목구조,목조,단독주택,0,1985,,
89383,대구광역시 달성군 논공읍 남리 636-26번지,4,0,12.6,철근콘크리트구조,철근콘크리트구조,단독주택,0,2014,35.7232914581732,128.450684714717
89384,대구광역시 달성군 논공읍 남리 638-1번지,3,0,0.0,철근콘크리트구조,"철근콘트리트, 조적조",단독주택,0,1996,35.7235595572182,128.450826944487
89385,대구광역시 달성군 논공읍 남리 640번지,1,0,0.0,벽돌구조,시멘트벽돌,단독주택,0,1989,35.7234418864066,128.451108940556
89386,대구광역시 달성군 논공읍 남리 646번지,7,1,22.75,철근콘크리트구조,철근콘크리트구조,공동주택,0,2006,35.7234043317236,128.451420680642
89387,대구광역시 달성군 논공읍 남리 646-3번지,5,0,14.8,철근콘크리트구조,철근콘크리트구조,공동주택,0,2006,35.72329624038,128.451207307894
89388,대구광역시 달성군 논공읍 남리 647번지,1,0,4.8,벽돌구조,시멘트벽돌,단독주택,0,1997,35.7235868948351,128.451392164795
89389,대구광역시 달성군 논공읍 남리 649번지,2,0,7.3,일반철골구조,일반철골구조,창고시설,0,2005,35.7236146891383,128.45120225402
89390,대구광역시 달성군 논공읍 남리 650번지,1,0,0.0,목구조,목조,단독주택,0,1985,35.7237818205583,128.451168042518
89391,대구광역시 달성군 논공읍 남리 650번지,1,0,0.0,목구조,목조,단독주택,0,1955,35.7237818205583,128.451168042518
89392,대구광역시 달성군 논공읍 남리 653번지,2,0,7.5,철근콘크리트구조,철근콘크리트및시멘트벽돌조,창고시설,0,1995,35.7239370440144,128.450828485468
89393,대구광역시 달성군 논공읍 남리 655-3번지,1,0,0.0,벽돌구조,시멘트벽돌,단독주택,0,1985,35.7238656217911,128.450533554529
89394,대구광역시 달성군 논공읍 남리 656-6번지,1,0,3.9,벽돌구조,시멘트 벽돌구조,단독주택,0,2002,35.7245232378492,128.450546583238
89395,대구광역시 달성군 논공읍 남리 656-7번지,2,0,7.75,일반철골구조,일반철골구조,단독주택,0,2020,35.7246065149252,128.450411386112
89396,대구광역시 달성군 논공읍 남리 656-8번지,1,0,5.0,경량철골구조,경량철골구조,단독주택,0,2004,35.7246904482523,128.450139493362
89397,대구광역시 달성군 논공읍 남리 656-9번지,1,0,6.0,벽돌구조,벽돌구조,단독주택,0,2012,35.7245322857733,128.450132426823
89398,대구광역시 달성군 논공읍 남리 656-10번지,2,0,8.975,철근콘크리트구조,철근콘크리트구조,단독주택,0,2020,35.7244578128896,128.450277398516
89399,대구광역시 달성군 논공읍 남리 656-11번지,1,0,4.0,벽돌구조,시멘트벽돌,단독주택,0,1985,35.7242936991961,128.450218281994
89400,대구광역시 달성군 논공읍 남리 656-12번지,1,0,0.0,블록구조,블럭,공장,0,1976,35.724232090414,128.449998788492
89401,대구광역시 달성군 논공읍 남리 656-13번지,1,0,3.45,경량철골구조,경량철골구조,단독주택,0,2015,35.7243666240465,128.449969951228
89402,대구광역시 달성군 논공읍 남리 656-13번지,3,0,8.1,프리케스트콘크리트구조,RC,단독주택,0,1992,35.7243666240465,128.449969951228
89403,대구광역시 달성군 논공읍 남리 656-15번지,3,0,12.0,벽돌구조,"시멘트벽돌, 철근콘크리트조",단독주택,0,1993,35.7242664853501,128.449664773775
89404,대구광역시 달성군 논공읍 남리 656-16번지,1,0,3.55,경량철골구조,경량철골구조,노유자시설,0,2021,35.7242330564113,128.449327761797
89405,대구광역시 달성군 논공읍 남리 656-16번지,2,0,7.5,철근콘크리트구조,철근콘크리트구조,노유자시설,0,1998,35.7242330564113,128.449327761797
