소방서 및 안전센터명,주소,X좌표,Y좌표,구이름,동이름
달성소방서-논공-119 안전센터,대구광역시 달성군 논공읍 논공중앙로33길 5,35.7300884,128.4530232,달성군,논공
달성소방서-화원-119 안전센터,대구광역시 달성군 화원읍 화암로 122,35.79876,128.5018001,달성군,화원
달서소방서-송현-119 안전센터,대구광역시 달서구 월배로 262,35.8200211,128.542026,달서구,송현
달서소방서-본리-119 안전센터,대구광역시 달서구 대명천로 134,35.8396937,128.5450815,달서구,본리
달서소방서-도원-119 안전센터,대구광역시 달서구 도원로 8,35.8090018,128.5356389,달서구,도원
달서소방서-월성-119 안전센터,대구광역시 달서구 학산로 75,35.831088,128.5347565,달서구,월성
달서소방서,대구광역시 달서구 학산로 75,35.831088,128.5347565,달서구,월성
강서소방서_대구-성서-119 안전센터,대구광역시 달서구 성서로 357,35.8495073,128.506873,달서구,성서
강서소방서_대구-죽전-119 안전센터,대구광역시 달서구 와룡로 222,35.8525899,128.537634,달서구,죽전
강서소방서_대구-대천-119 안전센터,대구광역시 달서구 달서대로58길 129,35.8249447,128.5067496,달서구,대천
중부소방서_대구-명덕-119 안전센터,대구광역시 남구 명덕로34길 22,35.8555084,128.5872111,남구,명덕
중부소방서_대구-봉덕-119 안전센터,대구광역시 남구 희망로3길 29,35.8490502,128.5992964,남구,봉덕
중부소방서_대구-대명-119 안전센터,대구광역시 남구 현충로15길 21-81,35.8374047,128.5790738,남구,대명
중부소방서_대구-성명-119 안전센터,대구광역시 남구 대명남로 12-1,35.8334026,128.5601525,남구,성명
