순번,관리부서,주소,위치 상세설명
137,비산119안전센터,대구광역시 서구 비산동 145-1,달성공원뒷담 방범초소 앞
138,비산119안전센터,대구광역시 서구 비산동 324-1,동성산업 정문 맞은편
139,비산119안전센터,대구광역시 서구 비산동 108-2,달성공원뒷담 박기춘댁앞
140,비산119안전센터,대구광역시 서구 비산동 666-2,666-2 주택 앞
141,비산119안전센터,대구광역시 서구 비산동 434-24,영남기물 혼수그릇도매 앞
142,태전119안전센터구,대구광역시 북구 팔달동 150,팔달중앙교회 주변 골목
143,칠성119안전센터,대구광역시 북구 칠성동1가 85,할매소피국밥 앞
144,칠성119안전센터,대구광역시 북구 칠성동1가 143-5,씽크할인판매장앞
145,칠성119안전센터,대구광역시 북구 칠성동1가 136-5,채신식탁싱크 앞
146,칠성119안전센터,대구광역시 북구 칠성동1가 276-102,진양상회앞
147,칠성119안전센터,대구광역시 북구 칠성동1가 18-71,자연밤농산앞
148,칠성119안전센터,대구광역시 북구 칠성동1가 318,예천문공업사 앞
149,칠성119안전센터,대구광역시 북구 칠성동1가 81,북문시장 거울유리 앞
150,칠성119안전센터,대구광역시 북구 칠성동1가 361-1,유성가구 옆
151,칠성119안전센터,대구광역시 북구 칠성동1가 198-1,동천상사 앞
152,침산119안전센터,대구광역시 북구 노원동1가 141,열창노래방 앞
153,침산119안전센터,대구광역시 북구 침산동 1192,파크빌라 남편
154,침산119안전센터,대구광역시 북구 노원동1가 63,태영정밀 남편
