Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
66022,대구광역시 달서구 상인동 87번지,1,0,4.5,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8202417791231,128.534995656834
66023,대구광역시 달서구 상인동 87번지,0,2,0.0,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8202417791231,128.534995656834
66024,대구광역시 달서구 상인동 87번지,2,1,11.15,철근콘크리트구조,철근콘크리트구조,제2종근린생활시설,0,2008,35.8202417791231,128.534995656834
66025,대구광역시 달서구 상인동 87번지,26,0,72.3,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8202417791231,128.534995656834
66026,대구광역시 달서구 상인동 87번지,26,0,72.3,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8202417791231,128.534995656834
66027,대구광역시 달서구 상인동 87번지,1,0,4.5,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8202417791231,128.534995656834
66028,대구광역시 달서구 상인동 87번지,1,0,4.5,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8202417791231,128.534995656834
66029,대구광역시 달서구 상인동 87번지,1,0,5.35,철근콘크리트구조,철근콘크리트구조,공동주택,0,2008,35.8202417791231,128.534995656834
66030,대구광역시 달서구 상인동 87번지,23,0,64.3,철근콘크리트구조,철근콘크리트구조,공동주택,2,2008,35.8202417791231,128.534995656834
66031,대구광역시 달서구 상인동 87번지,22,0,61.1,철근콘크리트구조,철근콘크리트구조,공동주택,2,2008,35.8202417791231,128.534995656834
66032,대구광역시 달서구 상인동 87번지,25,0,69.9,철근콘크리트구조,철근콘크리트구조,공동주택,3,2008,35.8202417791231,128.534995656834
66033,대구광역시 달서구 상인동 87-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1925,,
66034,대구광역시 달서구 상인동 88번지,1,0,0.0,일반목구조,목조,단독주택,0,1925,,
66035,대구광역시 달서구 상인동 92-6번지,1,0,0.0,블록구조,부록,동물및식물관련시설,0,1960,,
66036,대구광역시 달서구 상인동 95번지,2,0,7.45,철근콘크리트구조,철근콘크리트구조,제1종근린생활시설,0,2009,35.8199008200515,128.53349614862
66037,대구광역시 달서구 상인동 95번지,26,0,77.85,철근콘크리트구조,철근콘크리트구조,공동주택,3,2009,35.8199008200515,128.53349614862
66038,대구광역시 달서구 상인동 95번지,20,0,61.2,철근콘크리트구조,철근콘크리트구조,공동주택,1,2009,35.8199008200515,128.53349614862
66039,대구광역시 달서구 상인동 95번지,1,2,2.9,철근콘크리트구조,철근콘크리트구조,공동주택,0,2009,35.8199008200515,128.53349614862
