Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
246039,대구광역시 수성구 수성동1가 505-1번지,2,0,0.0,철근콘크리트구조,"철근콘크리트조, 벽돌조",제2종근린생활시설,0,1990.0,35.8499547979804,128.611512908419
246040,대구광역시 수성구 수성동1가 505-2번지,2,0,0.0,벽돌구조,벽돌조,제1종근린생활시설,0,1990.0,35.8498945472512,128.611530395
246041,대구광역시 수성구 수성동1가 506번지,3,0,0.0,벽돌구조,"철근콘크리트, 벽돌조",단독주택,0,1991.0,35.8497964410558,128.611568588492
246042,대구광역시 수성구 수성동1가 507-1번지,4,0,10.9,벽돌구조,시멘트벽돌조,공동주택,0,1996.0,35.8498531470204,128.611768306958
246043,대구광역시 수성구 수성동1가 507-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1971.0,35.8498341015859,128.611676605472
246044,대구광역시 수성구 수성동1가 507-3번지,4,0,13.0,철근콘크리트구조,철근콘크리트조,공동주택,0,1997.0,35.8498341015859,128.611676605472
246045,대구광역시 수성구 수성동1가 507-4번지,3,0,9.5,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1994.0,35.8497039906555,128.611594942292
246046,대구광역시 수성구 수성동1가 508번지,3,0,10.45,철근콘크리트구조,철근콘크리트조,공동주택,0,1994.0,35.8497066270624,128.611720845472
246047,대구광역시 수성구 수성동1가 511-1번지,3,0,10.4,벽돌구조,"철근콘크리트조, 시멘트벽돌조",단독주택,0,1994.0,35.8498603401785,128.611883676757
246048,대구광역시 수성구 수성동1가 511-2번지,2,0,7.55,벽돌구조,시멘벽돌조,단독주택,0,1997.0,35.8498080530273,128.611938957485
246049,대구광역시 수성구 수성동1가 512번지,3,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1997.0,35.8496791414015,128.611962691081
246050,대구광역시 수성구 수성동1가 513번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1975.0,,
246051,대구광역시 수성구 수성동1가 513-3번지,4,0,13.0,철근콘크리트구조,철근콘크리트,공동주택,0,1995.0,35.8498807324441,128.612056317122
246052,대구광역시 수성구 수성동1가 513-4번지,3,0,9.4,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8497990051105,128.612069273094
246053,대구광역시 수성구 수성동1가 513-5번지,4,0,10.4,철근콘크리트구조,철근콘크리트조,공동주택,0,1995.0,35.8497279484719,128.612079456556
246054,대구광역시 수성구 수성동1가 514번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1990.0,35.8496591995245,128.612098984329
246055,대구광역시 수성구 수성동1가 517번지,3,0,11.3,벽돌구조,시멘트벽돌조,공동주택,0,1993.0,35.8497139191578,128.612305635798
246056,대구광역시 수성구 수성동1가 518번지,4,0,13.08,철근콘크리트구조,R.C조,공동주택,0,1996.0,35.8498564497877,128.612234030072
246057,대구광역시 수성구 수성동1가 519번지,4,0,13.5,철근콘크리트구조,철근콘크리트조,공동주택,0,1995.0,35.849854418126,128.612385407457
246058,대구광역시 수성구 수성동1가 522번지,1,0,0.0,일반목구조,목조,단독주택,0,1958.0,,
246059,대구광역시 수성구 수성동1가 522-1번지,4,1,0.0,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1983.0,35.8498158587621,128.612874744242
246060,대구광역시 수성구 수성동1가 522-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1959.0,35.8498158587621,128.612874744242
246061,대구광역시 수성구 수성동1가 522-2번지,2,1,0.0,철근콘크리트구조,철근콘크리트,종교시설,0,1980.0,35.8497141540177,128.612617110551
246062,대구광역시 수성구 수성동1가 522-2번지,6,1,23.2,철근콘크리트구조,철근콘크리트조,종교시설,0,1997.0,35.8497141540177,128.612617110551
246063,대구광역시 수성구 수성동1가 522-5번지,1,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1983.0,,
246064,대구광역시 수성구 수성동1가 522-6번지,2,1,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1983.0,,
246065,대구광역시 수성구 수성동1가 522-7번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1973.0,,
246066,대구광역시 수성구 수성동1가 523-2번지,2,1,7.7,철근콘크리트구조,"철근콘크리트조, 조적조",제2종근린생활시설,0,1992.0,35.8494176527834,128.612524992563
246067,대구광역시 수성구 수성동1가 524-3번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1985.0,35.8493128595981,128.612477268094
246068,대구광역시 수성구 수성동1가 524-7번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1985.0,35.8492240751403,128.61243861205
246069,대구광역시 수성구 수성동1가 524-8번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1985.0,35.8491864246959,128.612558164377
246070,대구광역시 수성구 수성동1가 524-9번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1985.0,35.8492790111594,128.612608962221
246071,대구광역시 수성구 수성동1가 524-11번지,4,1,15.4,철근콘크리트구조,철근콘크리트조,제2종근린생활시설,0,1989.0,35.849166473416,128.612768947497
246072,대구광역시 수성구 수성동1가 525-3번지,1,0,0.0,일반목구조,목조,단독주택,0,1971.0,35.8489948382692,128.612793363873
246073,대구광역시 수성구 수성동1가 525-4번지,4,1,14.7,철근콘크리트구조,"철근콘크리트, 시멘트벽돌조",제2종근린생활시설,0,1989.0,35.8488554916596,128.612768736717
246074,대구광역시 수성구 수성동1가 527번지,2,1,7.3,벽돌구조,시멘벽돌,단독주택,0,1982.0,35.8490755836148,128.612511203023
246075,대구광역시 수성구 수성동1가 527-1번지,2,1,7.5,벽돌구조,시멘벽돌,제1종근린생활시설,0,1982.0,35.8489585649686,128.612441094273
246076,대구광역시 수성구 수성동1가 527-3번지,2,1,7.5,벽돌구조,시멘벽돌,단독주택,0,1982.0,35.8489168914831,128.612618674226
246077,대구광역시 수성구 수성동1가 527-3번지,0,0,0.0,블록구조,시멘블록,단독주택,0,,35.8489168914831,128.612618674226
246078,대구광역시 수성구 수성동1가 527-4번지,2,1,7.4,벽돌구조,시멘벽돌조,단독주택,0,1982.0,35.8490325034267,128.612639167869
246079,대구광역시 수성구 수성동1가 528-1번지,2,0,7.2,벽돌구조,시멘벽돌조,단독주택,0,1984.0,35.8491804233726,128.612112313885
246080,대구광역시 수성구 수성동1가 528-2번지,2,0,6.8,벽돌구조,시멘벽돌조,단독주택,0,1984.0,35.849108531301,128.611889266998
246081,대구광역시 수성구 수성동1가 528-4번지,2,0,7.3,벽돌구조,시멘벽돌조,단독주택,0,1984.0,35.8491638537715,128.612259189605
246082,대구광역시 수성구 수성동1가 528-5번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1984.0,35.8491285359189,128.612392956847
246083,대구광역시 수성구 수성동1가 528-6번지,2,0,6.9,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1984.0,35.8489790724876,128.612309683898
246084,대구광역시 수성구 수성동1가 528-8번지,2,0,7.5,벽돌구조,시멘벽돌조,단독주택,0,1984.0,35.8490427814189,128.612162102631
246085,대구광역시 수성구 수성동1가 528-10번지,2,0,6.4,벽돌구조,시멘벽돌조,단독주택,0,1984.0,35.8490814259139,128.612035597293
246086,대구광역시 수성구 수성동1가 529-2번지,2,0,0.0,벽돌구조,시멘트벽돌조,단독주택,0,1989.0,35.8492975658787,128.612327643958
246087,대구광역시 수성구 수성동1가 529-3번지,3,0,10.8,벽돌구조,시멘트벽돌조,단독주택,0,1993.0,35.849551285408,128.611887603705
246088,대구광역시 수성구 수성동1가 529-5번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1993.0,35.8495515094884,128.612199963107
246089,대구광역시 수성구 수성동1가 529-8번지,4,0,13.6,철근콘크리트구조,R.C조,공동주택,0,1995.0,35.8494760615733,128.612356051731
246090,대구광역시 수성구 수성동1가 529-10번지,2,0,7.55,벽돌구조,시멘트벽돌조,단독주택,0,1993.0,35.8494380784244,128.612225116508
246091,대구광역시 수성구 수성동1가 529-13번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8492778818176,128.612149263507
246092,대구광역시 수성구 수성동1가 529-14번지,2,0,7.4,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8492788356774,128.612232628815
246093,대구광역시 수성구 수성동1가 529-16번지,2,0,7.3,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8493335677504,128.61214961612
246094,대구광역시 수성구 수성동1가 529-18번지,2,0,7.6,벽돌구조,시멘트벽돌조,단독주택,0,1995.0,35.8495323856883,128.612154416186
246095,대구광역시 수성구 수성동1가 529-19번지,1,0,4.966,경량철골구조,경량철골조,단독주택,0,2001.0,35.8493859940656,128.612070541306
246096,대구광역시 수성구 수성동1가 529-20번지,4,0,12.4,철근콘크리트구조,철근콘크리트조,공동주택,0,1997.0,35.8492580272836,128.612017146114
246097,대구광역시 수성구 수성동1가 530번지,1,0,0.0,일반목구조,목조,단독주택,0,1957.0,,
246098,대구광역시 수성구 수성동1가 531-1번지,2,0,0.0,벽돌구조,시멘벽돌,제1종근린생활시설,0,1992.0,35.8495338185596,128.611651379079
246099,대구광역시 수성구 수성동1가 531-2번지,3,0,7.1,벽돌구조,시멘트벽돌조,단독주택,0,1992.0,35.8495556636888,128.611729190488
246100,대구광역시 수성구 수성동1가 532번지,1,0,0.0,일반목구조,목조,단독주택,0,1949.0,,
246101,대구광역시 수성구 수성동1가 532-2번지,2,0,7.4,벽돌구조,시멘트벽돌,단독주택,0,1995.0,35.8494302515966,128.611868218776
246102,대구광역시 수성구 수성동1가 532-4번지,1,0,0.0,일반목구조,목조,단독주택,0,1948.0,35.8494419118118,128.611717811858
246103,대구광역시 수성구 수성동1가 532-4번지,1,1,0.0,벽돌구조,시멘트벽돌조,제1종근린생활시설,0,1981.0,35.8494419118118,128.611717811858
246104,대구광역시 수성구 수성동1가 532-5번지,1,0,0.0,블록구조,시멘블럭조,단독주택,0,1972.0,35.8494068135632,128.611949430187
246105,대구광역시 수성구 수성동1가 533-3번지,4,1,13.1,철근콘크리트구조,철근콘크리트,공동주택,0,1993.0,35.8491977642957,128.61187435984
246106,대구광역시 수성구 수성동1가 533-4번지,1,0,0.0,벽돌구조,시멘벽돌조,단독주택,0,1974.0,35.8493248505119,128.611744884777
246107,대구광역시 수성구 수성동1가 533-5번지,2,0,0.0,벽돌구조,벽돌조,단독주택,0,1991.0,35.8492641645445,128.611734358886
246108,대구광역시 수성구 수성동1가 533-6번지,3,0,9.9,벽돌구조,시멘트벽돌조,단독주택,0,1994.0,35.8491800473123,128.611730663972
246109,대구광역시 수성구 수성동1가 534-1번지,3,0,7.5,벽돌구조,시멘트벽돌조,단독주택,0,1989.0,35.8493731799266,128.611467378548
246110,대구광역시 수성구 수성동1가 534-2번지,2,1,0.0,벽돌구조,벽돌조,단독주택,0,1980.0,35.8492918738542,128.611475805493
246111,대구광역시 수성구 수성동1가 535-3번지,2,1,7.7,벽돌구조,"철근콘크리트조, 시멘트벽돌조",단독주택,0,1997.0,35.8493944148762,128.611127118531
246112,대구광역시 수성구 수성동1가 535-4번지,1,0,0.0,벽돌구조,세벽,단독주택,0,1977.0,35.8492792068153,128.611136962903
246113,대구광역시 수성구 수성동1가 535-6번지,1,0,0.0,벽돌구조,세벽,단독주택,0,1978.0,35.8493840821133,128.611292826909
246114,대구광역시 수성구 수성동1가 535-7번지,1,1,0.0,벽돌구조,세벽,단독주택,0,1978.0,35.8492809872039,128.611306568766
246115,대구광역시 수성구 수성동1가 536-1번지,2,0,7.1,벽돌구조,시멘트벽돌조,단독주택,0,1992.0,35.8493273508134,128.611014301481
246116,대구광역시 수성구 수성동1가 536-2번지,1,0,0.0,일반목구조,"목조, 시멘브록조",단독주택,0,1985.0,35.8493274365848,128.610752532376
246117,대구광역시 수성구 수성동1가 536-3번지,4,1,13.1,철근콘크리트구조,R.C,공동주택,0,1994.0,35.8496577761332,128.610606136178
